English,IPA,Vietnamese
conclude,kənˈklud,kết luận kết thúc chấm dứt (công việc)
conclusion,kənˈkluʒən,sự kết thúc sự kết luận phần kết luận
concrete,kɔnkri:t,bằng bê tông; bê tông
condition,kən'di∫ən,điều kiện tình cảnh tình thế
conduct,kɔndʌkt,or
conference,ˈkɒnfərəns ˈkɒnfrəns,hội nghị sự bàn bạc
confidence,konfid(ə)ns,lòng tin tưởng sự tin cậy
confident,kɔnfidənt,tin tưởng tin cậy tự tin
confidently,kɔnfidəntli,tự tin
confine,kən'fain,giam giữ hạn chế
confined,kən'faind,hạn chế giới hạn
confirm,kən'fə:m,xác nhận chứng thực
conflict,kənˈflɪkt ; ˈkɒnflɪkt,xung đột va chạm; sự xung đột sự va chạm
confront,kən'frʌnt,đối mặt đối diện đối chiếu
confusing,kən'fju:ziη,khó hiểu gây bối rối
confused,kən'fju:zd,bối rối lúng túng ngượng
confusion,kən'fju:ʒn,sự lộn xộn sự rối loạn
congratulations,kəngrætju'lei∫n,sự chúc mừng khen ngợi; lời chúc mừng khen
congress,kɔɳgres,đại hội hội nghị Quốc hội
connect,kə'nekt,kết nối nối
connection,kə´nekʃən,sự kết nối sự giao kết
conscious,ˈkɒnʃəs,tỉnh táo có ý thức biết rõ
unconscious,ʌn'kɔnʃəs,bất tỉnh không có ý thức không biết rõ
consequence,kɔnsikwəns,kết quả hậu quả
conservative,kən´sə:vətiv,thận trọng dè dặt bảo thủ
consider,kən´sidə,cân nhắc xem xét; để ý quan tâm lưu ý đến
considerable,kən'sidərəbl,lớn lao to tát đáng kể
considerably,kən'sidərəbly,đáng kể lớn lao nhiều
consideration,kənsidə'reiʃn,sự cân nhắc sự xem xét sự để ý sự quan tâm
consist of,kən'sist,gồm có
constant,kɔnstənt,kiên trì bền lòng
constantly,kɔnstəntli,kiên định
construct,kən´strʌkt,xây dựng
construction,kən'strʌkʃn,sự xây dựng
consult,kən'sʌlt,tra cứu tham khảo thăm dò hỏi ý kiến
consumer,kən'sju:mə,người tiêu dùng
contact,ˈkɒntækt,sự liên lạc sự giao thiệp; tiếp xúc
contain,kən'tein,bao hàm chứa đựng bao gồm
container,kən'teinə,cái đựng chứa; công te nơ
contemporary,kən'tempərəri,đương thời đương đại
content,kən'tent,nội dung sự hài lòng
contest,kən´test,cuộc thi trận đấu cuộc tranh luận cuộc chiến đấu chiến tranh
context,kɔntekst,văn cảnh khung cảnh phạm vi
continent,kɔntinənt,lục địa đại lục (lục địa Bắc Mỹ)
continue,kən´tinju:,tiếp tục làm tiếp
continuous,kən'tinjuəs,liên tục liên tiếp
continuously,kən'tinjuəsli,liên tục liên tiếp
contract,kɔntrækt,hợp đồng sự ký hợp đồng; ký kết
contrast,kən'træst,or
contrasting,kən'træsti,tương phản
contribute,kən'tribju:t,đóng góp ghóp phần
contribution,¸kɔntri´bju:ʃən,sự đóng góp sự góp phần
control s,kən'troul,sự điều khiển quyền hành quyền lực quyền chỉ huy
controlled,kən'trould,được điều khiển được kiểm tra
uncontrolled,ʌnkən'trould,không bị điều khiển không bị kiểm tra không bị hạn
convenient,kən´vi:njənt,tiện lợi thuận lợi thích hợp
convention,kən'ven∫n,hội nghị hiệp định quy ước
conventional,kən'ven∫ənl,quy ước
conversation,kɔnvə'seiʃn,cuộc đàm thoại cuộc trò chuyện
convert,kən'və:t,đổi biến đổi
convince,kən'vins,làm cho tin thuyết phục; làm cho nhận thức thấy
cook,kʊk,nấu ăn người nấu ăn
cooking,kʊkiɳ,sự nấu ăn cách nấu ăn
cooker (BrE),´kukə,lò bếp nồi nấu
cookie (especially NAmE),´kuki,bánh quy
cool,ku:l,mát mẻ điềm tĩnh; làm mát
cope (with),koup,đối phó đương đầu
copy,kɔpi,bản sao bản chép lại; sự sao chép; sao chép bắt chước
core,kɔ:,nòng cốt hạt nhân; đáy lòng
corner,´kɔ:nə,góc (tường nhà phố)
correct,kə´rekt,đúng chính xác; sửa sửa chữa
correctly,kə´rektli,đúng chính xác
cost,kɔst kɒst,giá chi phí; trả giá phải trả
cottage,kɔtidʤ,nhà tranh
cotton,ˈkɒtn,bông chỉ sợi
cough,kɔf,ho sự ho tiếng hoa
coughing,´kɔfiη,ho
could,kud,có thể có khả năng
council,kaunsl,hội đồng
count,kaunt,đếm tính
counter,ˈkaʊntər,quầy hàng quầy thu tiền máy đếm
country,ˈkʌntri,nước quốc gia đất nước
countryside,kʌntri'said,miền quê miền nông thôn
county,koun'ti,hạt tỉnh
couple,kʌpl,đôi cặp; đôi vợ chồng cặp nam nữ
courage,kʌridʤ,sự can đảm sự dũng cảm dũng khí
course,kɔ:s,tiến trình quá trình diễn tiến; sân chạy đua
court,kɔrt koʊrt,sân sân (tennis) tòa án quan tòa phiên tòa
cousin,ˈkʌzən,anh em họ
cover,kʌvə,bao bọc che phủ; vỏ vỏ bọc
covered,kʌvərd,có mái che kín đáo
covering,´kʌvəriη,sự bao bọc sự che phủ cái bao bọc
cow,kaʊ,con bò cái
crack,kræk,cừ xuất sắc; làm nứt làm vỡ nứt nẻ rạn nứt
cracked,krækt,rạn nứt
craft,kra:ft,nghề nghề thủ công
crash,kræʃ,vải thô; sự rơi (máy bay) sự phá sản sụp đổ; phá tan tành phá vụn
crazy,kreizi,điên mất trí
cream,kri:m,kem
create,kri:'eit,sáng tạo tạo nên
creature,kri:tʃə,sinh vật loài vật
credit,ˈkrɛdɪt,sự tin lòng tin danh tiếng; tiền gửi ngân hàng
crime,kraim,tội tội ác tội phạm
criminal,ˈkrɪmənl,có tội phạm tội; kẻ phạm tội tội phạm
crisis,ˈkraɪsɪs,sự khủng hoảng cơn khủng hoảng
crisp,krips,giòn
criterion,kraɪˈtɪəriən,tiêu chuẩn
critical,ˈkrɪtɪkəl,phê bình phê phán; khó tính
criticism,´kriti¸sizəm,sự phê bình sự phê phán lời phê bình lời phê phán
criticize (BrE also -ise),ˈkrɪtəˌsaɪz,phê bình phê phán chỉ trích
crop,krop,vụ mùa
cross,krɔs,cây Thánh Giá nỗi thống khổ; sự băng qua; băng qua vượt qua
crowd,kraud,đám đông
crowded,kraudid,đông đúc
crown,kraun,vương miện vua ngai vàng; đỉnh cao nhất
crucial,´kru:ʃəl,quyết định cốt yếu chủ yếu
cruel,kru:ə(l),độc ác dữ tợn tàn nhẫn
crush,krᴧ∫,ép vắt đè nát đè bẹp
cry,krai,khóc kêu la; sự khóc tiếng khóc sự kêu la
cultural,ˈkʌltʃərəl,(thuộc) văn hóa
culture,ˈkʌltʃər,văn hóa sự mở mang sự giáo dục
cup,kʌp,tách chén
cupboard,kʌpbəd,1 loại tủ có ngăn
curb,kə:b,kiềm chế nén lại hạn chế
cure,kjuə,chữa trị điều trị; cách chữa bệnh cách điều trị; thuốc
curious,kjuəriəs,ham muốn tò mò lạ lùng
curiously,kjuəriəsli,tò mò hiếu kỳ lạ kỳ
curl,kə:l,quăn xoắn uốn quăn làm xoắn; sự uốn quăn
curly,´kə:li,quăn xoắn
current,kʌrənt,hiện hành phổ biến hiện nay; dòng (nước) luống (gió)
currently,kʌrəntli,hiện thời hiện nay
curtain,kə:tn,màn (cửa rạp hát khói sương)
curve,kə:v,đường cong đường vòng; cong uốn cong bẻ cong
curved,kə:vd,cong
custom,kʌstəm,phong tục tục lệ thói quen tập quán
customer,´kʌstəmə,khách hàng
customs,´kʌstəmz,thuế nhập khẩu hải quan
cut,kʌt,cắt chặt; sự cắt
cycle,saikl,chu kỳ chu trình vòng; quay vòng theo chu kỳ đi xe đạp
cycling,saikliŋ,sự đi xe đạp
dad,dæd,bố cha
daily,deili,hàng ngày
damage,dæmidʤ,mối hạn điều hại sự thiệt hại; làm hư hại làm hỏng gây
damp,dæmp,ẩm ẩm ướt ẩm thấp
dance,dɑ:ns,sự nhảy múa sự khiêu vũ; nhảy múa khiêu vũ
dancing,dɑ:nsiɳ,sự nhảy múa sự khiêu vũ
dancer,dɑ:nsə,diễn viên múa người nhảy múa
danger,deindʤə,sự nguy hiểm mối hiểm nghèo; nguy cơ mối đe dọa
dangerous,´deindʒərəs,nguy hiểm
dare,deər,dám dám đương đầu với; thách
dark,dɑ:k,tối tối tăm; bóng tối ám muội
data,´deitə,số liệu dữ liệu
date,deit,ngày kỳ kỳ hạn thời kỳ thời đại; đề ngày tháng ghi niên hiệu
daughter,ˈdɔtər,con gái
day,dei,ngày ban ngày
dead,ded,chết tắt
deaf,def,điếc làm thinh làm ngơ
deal,di:l,phân phát phân phối; sự giao dịch thỏa thuận mua bán
dear,diə,thân thân yêu thân mến; kính thưa thưa
death,deθ,sự chết cái chết
debate,dɪˈbeɪt,cuộc tranh luận cuộc tranh cãi; tranh luận bàn cãi
debt,det,nợ
decade,dekeid,thập kỷ bộ mười nhóm mười
decay,di'kei,tình trạng suy tàn suy sụp tình trạng đổ nát
December (abbr Dec),di'sembə,tháng mười hai tháng Chạp
decide,di'said,quyết định giải quyết phân xử
decision,diˈsiʒn,sự quyết định sự giải quyết sự phân xử
declare,di'kleə,tuyên bố công bố
decline,di'klain,sự suy tàn sự suy sụp; suy sụp suy tàn
decorate,´dekə¸reit,trang hoàng trang trí
decoration,¸dekə´reiʃən,sự trang hoàng đồ trang hoàng trang trí
decorative,´dekərətiv,để trang hoàng để trang trí để làm cảnh
decrease,di:kri:s,giảm bớt làm suy giảm sự giảm đi sự giảm sút
deep,di:p,sâu khó lường bí ẩn
deeply,´di:pli,sâu sâu xa sâu sắc
defeat,di'fi:t,đánh thắng đánh bại; sự thất bại (1 kế hoạch) sự tiêu tan (hy vọng)
defence (BrE) (NAmE defense),di'fens,cái để bảo vệ vật để chống đỡ sự che chở
defend,di'fend,che chở bảo vệ bào chữa
define,di'fain,định nghĩa
definite,də'finit,xác định định rõ rõ ràng
definitely,definitli,rạch ròi dứt khoát
definition,defini∫n,sự định nghĩa lời định nghĩa
degree,dɪˈgri:,mức độ trình độ; bằng cấp; độ
delay,dɪˈleɪ,sự chậm trễ sự trì hoãn sự cản trở; làm chậm trễ
deliberate,di'libəreit,thận trọng có tính toán chủ tâm có suy nghĩ cân nhắc
deliberately,di´libəritli,thận trọng có suy nghĩ cân nhắc
delicate,delikeit,thanh nhã thanh tú tế nhị khó xử
delight,di'lait,sự vui thích sự vui sướng điều thích thú; làm vui thích làm say
delighted,di'laitid,vui mừng hài lòng
deliver,di'livə,cứu khỏi thoát khỏi bày tỏ giãi bày
delivery,di'livəri,sự phân phát sự phân phối sự giao hàng; sự bày tỏ phát biếu
demand,dɪˈmænd,sự đòi hỏi sự yêu cầu; đòi hỏi yêu cầu
demonstrate,ˈdɛmənˌstreɪt,chứng minh giải thích; bày tỏ biểu lộ
dentist,dentist,nha sĩ
deny,di'nai,từ chối phản đối phủ nhận
department,di'pɑ:tmənt,cục sở ty ban khoa; gian hàng khu bày hàng
departure,di'pɑ:tʃə,sự rời khỏi sự đi sự khởi hành
depend (on),di'pend,phụ thuộc tùy thuộc; dựa vào ỷ vào trông mong vào
deposit,dɪˈpɒzɪt,vật gửi tiền gửi tiền đặt cọc; gửi đặt cọc
depress,di´pres,làm chán nản làm phiền muộn; làm suy giảm
depressing,di'presiη,làm chán nản làm thát vọng làm trì trệ
depressed,di-'prest,chán nản thất vọng phiền muộn; suy yếu đình trệ
depth,depθ,chiều sâu độ dày
derive,di´raiv,nhận được từ lấy được từ; xuất phát từ bắt nguồn chuyển hóa từ
describe,dɪˈskraɪb,diễn tả miêu tả mô tả
description,dɪˈskrɪpʃən,sự mô tả sự tả sự miêu tả
desert,ˈdɛzərt,sa mạc; công lao giá trị; rời bỏ bỏ trốn
deserted,di'zз:tid,hoang vắng không người ở
deserve,di'zз:v,đáng xứng đáng
design,di´zain,sự thiết kế kế hoạch đề cương phác thảo; phác họa thiết kế
desire,di'zaiə,ước muốn; thèm muốn ao ước
desk,desk,bàn (học sinh viết làm việc)
desperate,despərit,liều mạng liều lĩnh; tuyệt vọng
desperately,despəritli,liều lĩnh liều mạng
despite,dis'pait,dù mặc dù bất chấp
destroy,dis'trɔi,phá phá hoại phá huỷ tiêu diệt triệt phá
destruction,dis'trʌk∫n,sự phá hoại sự phá hủy sự tiêu diệt
detail,dɪˈteɪl ˈditeɪl ; dɪˈteɪl,chi tiết
detailed,di:teild,cặn kẽ tỉ mỉ nhiều chi tiết
determination,ditə:mi'neiʃn,sự xác định sự định rõ; sự quyết định
determine,di'tз:min,xác định định rõ; quyết định
determined,di´tə:mind,đã được xác định đã được xác định rõ
develop,di'veləp,phát triển mở rộng; trình bày bày tỏ
development,di’veləpmənt,sự phát triển sự trình bày sự bày tỏ
device,di'vais,kế sách; thiết bị dụng cụ máy móc
devote,di'vout,hiến dâng dành hết cho
devoted,di´voutid,hiến cho dâng cho dành cho; hết lòng nhiệt tình
diagram,ˈdaɪəˌgræm,biểu đồ
diamond,´daiəmənd,kim cương
diary,daiəri,sổ nhật ký; lịch ghi nhớ
dictionary,dikʃənəri,từ điển
die,daɪ,chết từ trần hy sinh
dying,ˈdaɪɪŋ,sự chết
diet,daiət,chế độ ăn uống chế độ ăn kiêng
difference,ˈdɪfərəns ˈdɪfrəns,sự khác nhau
different,difrзnt,khác khác biệt khác nhau
differently,difrзntli,khác khác biệt khác nhau
difficult,difik(ə)lt,khó khó khăn gay go
difficulty,difikəlti,sự khó khăn nỗi khó khăn điều cản trở
dig,dɪg,đào bới xới
dinner,dinə,bữa trưa chiều
direct,di'rekt; dai'rekt,trực tiếp thẳng thẳng thắn; gửi viết cho ai điều
directly,dai´rektli,trực tiếp thẳng
direction,di'rek∫n,sự điều khiển sự chỉ huy
director,di'rektə,giám đốc người điều khiển chỉ huy
dirt,də:t,đồ bẩn thỉu đồ dơ bẩn vật rác rưởi
dirty,´də:ti,bẩn thỉu dơ bẩn
disabled,dis´eibld,bất lực không có khă năng
disadvantage,ˌdɪsədˈvæntɪdʒ ˌdɪsədˈvɑntɪdʒ,sự bất lợi sự thiệt hại
disagree,¸disə´gri:,bất đồng không đồng ý khác không giống; không hợp
disagreement,¸disəg´ri:mənt,sự bất đồng sự không đồng ý sự khác nhau
disappear,disə'piə,biến mất biến đi
disappoint,ˌdɪsəˈpɔɪnt,không làm thỏa ước nguyện ý mong đợi; thất ước làm thất
disappointing,¸disə´pɔintiη,làm chán ngán làm thất vọng
disappointed,disз'pointid,thất vọng
disappointment,¸disə´pɔintmənt,sự chán ngán sự thất vọng
disapproval,¸disə´pru:vl,sự phản đổi sự không tán thành
disapprove (of),¸disə´pru:v,không tán thành phản đối chê
disapproving,¸disə´pru:viη,phản đối
disaster,di'zɑ:stə,tai họa thảm họa
disc (also disk especially in NAmE),disk,đĩa
discipline,disiplin,kỷ luật
discount,diskaunt,sự bớt giá sự chiết khấu tiền bớt chiết khấu
discover,dis'kʌvə,khám phá phát hiện ra nhận ra
discovery,dis'kʌvəri,sự khám phá sự tìm ra sự phát hiện ra
discuss,dis'kΛs,thảo luận tranh luận
discussion,dis'kʌʃn,sự thảo luận sự tranh luận
disease,di'zi:z,căn bệnh bệnh tật
disgust,dis´gʌst,làm ghê tởm làm kinh tởm làm phẫn nộ
disgusting,dis´gʌstiη,làm ghê tởm kinh tởm
disgusted,dis´gʌstid,chán ghét phẫn nộ
dish,diʃ,đĩa (đựng thức ăn)
dishonest,dis´ɔnist,bất lương không thành thật
dishonestly,dis'onistli,bất lương không lương thiện
disk,disk,đĩa đĩa hát
dislike,dis'laik,sự không ưa không thích sự ghét
dismiss,dis'mis,giải tán (quân đội đám đông); sa thải (người làm)
display,dis'plei,bày tỏ phô trương trưng bày; sự bày ra phô bày trưng bày
dissolve,dɪˈzɒlv,tan rã phân hủy giải tán
distance,distəns,khoảng cách tầm xa
distinguish,dis´tiηgwiʃ,phân biệt nhận ra nghe ra
distribute,dis'tribju:t,phân bổ phân phối sắp xếp phân loại
distribution,distri'bju:ʃn,sự phân bổ sự phân phối phân phát sự sắp xếp
district,distrikt,huyện quận
disturb,dis´tə:b,làm mất yên tĩnh làm náo động quấy rầy
disturbing,dis´tə:biη,xáo trộn
divide,di'vaid,chia chia ra phân ra
division,dɪ'vɪʒn,sự chia sự phân chia sự phân loại
divorce,di´vɔ:s,sự ly dị
divorced,di'vo:sd,đã ly dị
do auxiliary,du: du,làm
undo,ʌn´du:,tháo gỡ; xóa bỏ hủy bỏ
doctor (abbr Dr NAmE Dr),dɔktə,bác sĩ y khoa tiến sĩ
document,dɒkjʊmənt,văn kiện tài liệu tư liệu
dog,dɔg,chó
dollar,´dɔlə,đô la Mỹ
domestic,də'mestik,vật nuôi trong nhà (thuộc) nội trợ quốc nội
dominate,ˈdɒməˌneɪt,chiếm ưu thế có ảnh hưởng chi phối; kiềm chế
door,dɔ:,cửa cửa ra vào
dot,dɔt,chấm nhỏ điểm; của hồi môn
double,dʌbl,đôi hai kép; cái gấp đôi lượng gấp đôi; làm gấp
doubt,daut,sự nghi ngờ sự ngờ vực; nghi ngờ ngờ vực
down,daun,xuống
downstairs,daun'steзz,ở dưới nhà ở tầng dưới; xống gác; tầng dưới
downwards (also downward especially in NAmE),´daun¸wədz,xuống đi xuống
downward,´daun¸wəd,xuống đi xuống
dozen,dʌzn,tá (12)
draft,dra:ft,bản phác thảo sơ đồ thiết kế; phác thảo thiết kế
drag,drӕg,lôi kéo kéo lê
drama,drɑːmə,kịch tuồng
dramatic,drə´mætik,như kịch như đóng kịch thích hợp với sân khấu
dramatically,drə'mætikəli,đột ngột
draw,dro:,vẽ kéo
drawing,dro:iŋ,bản vẽ bức vẽ sự kéo
drawer,´drɔ:ə,người vẽ người kéo
dream,dri:m,giấc mơ mơ
dress,dres,quần áo mặc (quần áo) ăn mặc
drink,driɳk,đồ uống; uống
drive,draiv,lái đua xe; cuộc đua xe (điều khiển)
driving,draiviɳ,sự lái xe cuộc đua xe
driver,draivə(r),người lái xe
drop,drɒp,chảy nhỏ giọt rơi rớt; giọt (nước máu)
drug,drʌg,thuốc dược phẩm; ma túy
drugstore (NAmE),drʌgstɔ:,hiệu thuốc cửa hàng dược phẩm
drum,drʌm,cái trống tiếng trống
drunk,drʌŋk,say rượu
dry,drai,khô cạn; làm khô sấy khô
due,du dyu,đến kỳ hạn (trả nợ); xứng đáng thích đáng
dull,dʌl,chậm hiểu ngu đần
dump,dʌmp,đổ rác; đống rác nơi đổ rác
during,djuəriɳ,trong lúc trong thời gian
dust,dʌst,bụi rác; rắc (bụi phấn) quét bụi phủi bụi
duty,dju:ti,sự tôn kính kính trọng; bồn phận trách nhiệm
each,i:tʃ,mỗi
ear,iə,tai
early,´ə:li,sớm
earn,ə:n,kiếm (tiền) giành (phần thưởng)
earth,ə:θ,đất trái đất
ease,i:z,sự thanh thản sự thoải mái; làm thanh thản làm yên tâm làm dễ chịu
east,i:st,hướng đông phía đông (thuộc) đông ở phía đông
eastern,i:stən,đông
easy,i:zi,dễ dàng dễ tính ung dung
easily,i:zili,dễ dàng
eat,i:t,ăn
economic,¸i:kə´nɔmik,(thuộc) Kinh tế
economy,ɪˈkɒnəmi,sự tiết kiệm sự quản lý kinh tế
edge,edӡ,lưỡi cạnh sắc
edition,i'diʃn,nhà xuất bản sự xuất bản
editor,´editə,người thu thập và xuất bản chủ bút
educate,edju:keit,giáo dục cho ăn học; rèn luyện
educated,edju:keitid,được giáo dục được đào tạo
education,edju:'keiʃn,sự giáo dục sự rèn luyện (kỹ năng)
effect,i'fekt,hiệu ứng hiệu quả kết quả
effective,ifektiv,có kết quả có hiệu lực
effectively,i'fektivli,có kết quả có hiệu lực
efficient,i'fiʃənt,có hiệu lực có hiệu quả
efficiently,i'fiʃəntli,có hiệu quả hiệu nghiệm
effort,´efə:t,sự cố gắng sự nỗ lực
egg,eg,trứng
either,´aiðə,mỗi một; cũng phải thế
elbow,elbou,khuỷu tay
elderly,´eldəli,có tuổi cao tuổi
elect,i´lekt,bầu quyết định
election,i´lekʃən,sự bầu cử cuộc tuyển cử
electric,ɪˈlɛktrɪk,(thuộc) điện có điện phát điện
electrical,i'lektrikəl,(thuộc) điện
electricity,ilek'trisiti,điện điện lực; điện lực học
electronic,ɪlɛkˈtrɒnɪk ˌilɛkˈtrɒnɪk,(thuộc) điện tử
elegant,´eligənt,thanh lịch tao nhã
element,ˈɛləmənt,yếu tôd nguyên tố
elevator (NAmE),ˈɛləˌveɪtər,máy nâng thang máy
else,els,khác nữa; nếu không
elsewhere,¸els´wɛə,ở một nơi nào khác
email (also e-mail),imeil,thư điện tử; gửi thư điện tử
embarrass,im´bærəs,lúng túng làm ngượng nghịu; làm rắc rối gây khó khăn
embarrassing,im´bærəsiη,làm lúng túng ngăn trở
embarrassed,im´bærəst,lúng túng bối rối ngượng; mang nợ
embarrassment,im´bærəsmənt,sự lúng túng sự bối rối
emerge,i´mə:dʒ,nổi lên hiện ra; nổi bật lên
emergency,i'mз:dЗensi,tình trạng khẩn cấp
emotion,i'moƱʃ(ə)n,xự xúc động sự cảm động mối xác cảm
emotional,i´mouʃənəl,cảm động xúc động xúc cảm; dễ cảm động dễ xúc cảm
emotionally,i´mouʃənəli,xúc động
emphasis,´emfəsis,sự nhấn mạnh tầm quan trọng
emphasize (BrE also -ise),ˈɛmfəˌsaɪz,nhấn mạnh làm nổi bật
empire,empaiə,đế chế đế quốc
employ,im'plɔi,dùng thuê ai làm gì
unemployed,¸ʌnim´plɔid,thất nghiệp; không dùng không sử dụng được
employee,¸emplɔi´i:,người lao động người làm công
employer,em´plɔiə,chủ người sử dụng lao động
employment,im'plɔimənt,sự thuê mướn
unemployment,Δnim'ploimзnt,sự thất nghiệp nạn thất nghiệp
empty,empti,trống rỗng; đổ dốc; uống làm cạn
enable,i'neibl,làm cho có thể có khả năng; cho phép ai làm gì
encounter,in'kautə,chạm chán bắt gặp; sự chạm trán sự bắt gặp
encourage,in'kΔridЗ,động viên ủng hộ giúp đỡ làm can đảm mạnh dạn
encouragement,in´kʌridʒmənt,niềm cổ vũ động viên khuyến khích sự làm can
end,end,giới hạn sự kết thúc; kết thúc chấm dứt
ending,´endiη,sự kết thúc sự chấm dứt; phần cuối kết cục
enemy,enəmi,kẻ thù quân địch
energy,ˈɛnərdʒi,năng lượng nghị lực sinh lực
engage,in'geidʤ,hứa hẹn cam kết đính ước
engaged,in´geidʒd,đã đính ước đã hứa hôn; đã có người
engine,en'ʤin,máy động cơ
engineer,endʒi'niər,kỹ sư
engineering,enʤɪ'nɪərɪŋ,nghề kỹ sư công việc của kỹ sư
enjoy,in'dЗoi,thưởng thức thích thú cái gì được hưởng có được
enjoyable,in´dʒɔiəbl,thú vị thích thú
enjoyment,in´dʒɔimənt,sự thích thú sự có được được hưởng
enormous,i'nɔ:məs,to lớn khổng lồ
enough,i'nʌf,đủ
enquiry (also inquiry especially in NAmE),in'kwaiəri,sự điều tra sự thẩm vấn
ensure,ɛnˈʃʊər ɛnˈʃɜr,bảo đảm chắc chắn
enter,´entə,đi vào gia nhập
entertain,entə'tein,giải trí tiếp đón chiêu đãi
entertaining,entə'teiniɳ,giải trí
entertainer,¸entə´teinə,người quản trò người tiếp đãi chiêu đãi
entertainment,entə'teinm(ə)nt,sự giải trí sự tiếp đãi chiêu đãi
enthusiasm,ɛnˈθuziˌæzəm,sự hăng hái sự nhiệt tình
enthusiastic,ɛnˌθuziˈæstɪk,hăng hái say mê nhiệt tình
entire,in'taiə,toàn thể toàn bộ
entirely,in´taiəli,toàn vẹn trọn vẹn toàn bộ
entitle,in'taitl,cho tiêu đề cho tên (sách); cho quyền làm gì
entrance,entrəns,sự đi vào sự nhậm chức
entry,ˈɛntri,sự ghi vào sổ sách sự đi vào sự tiếp nhận (pháp lý)
envelope,enviloup,phong bì
environment,in'vaiərənmənt,môi trường hoàn cảnh xung quanh
environmental,invairən'mentl,thuộc về môi trường
equal,´i:kwəl,ngang bằng; người ngang hàng ngang tài sức; bằng
equally,i:kwзli,bằng nhau ngang bằng
equipment,i'kwipmənt,trang thiết bị
equivalent,i´kwivələnt,tương đương; từ vật tương đương
error,erə,lỗi sự sai sót sai lầm
escape,is'keip,trốn thoát thoát khỏi; sự trốn thoát lỗi thoát
especially,is'peʃəli,đặc biệt là nhất là
essay,ˈɛseɪ,bài tiểu luận
essential,əˈsɛnʃəl,bản chất thực chất cốt yếu; yếu tố cần thiết
essentially,e¸senʃi´əli,về bản chất về cơ bản
establish,ɪˈstæblɪʃ,lập thành lập
estate,ɪˈsteɪt,tài sản di sản bất động sản
estimate,estimit - 'estimeit,sự ước lượng đánh giá; ước lượng đánh giá
etc (full form et cetera),et setərə,vân vân
euro,´ju:rou,đơn vị tiền tệ của liên minh châu Âu
even,i:vn,ngay cả ngay lại còn; bằng phẳng điềm đạm ngang bằng
evening,i:vniɳ,buổi chiều tối
event,i'vent,sự việc sự kiện
eventually,i´ventjuəli,cuối cùng
ever,evə(r),từng từ trước tới giờ
every,evəri,mỗi mọi
everyone (also everybody),´evri¸wʌn,mọi người
everything,evriθiɳ,mọi vật mọi thứ
everywhere,´evri¸weə,mọi nơi
evidence,evidəns,điều hiển nhiên điều rõ ràng
evil,i:vl,xấu ác; điều xấu điều ác điều tai hại
exact,ig´zækt,chính xác đúng
exactly,ig´zæktli,chính xác đúng đắn
exaggerate,ig´zædʒə¸reit,cường điệu phóng đại
exaggerated,ig'zædЗзreit,cường điệu phòng đại
exam,ig´zæm,viết tắt của Examination (xem nghĩa phía dưới)
examination,ig¸zæmi´neiʃən,sự thi cử kỳ thi
examine,ɪgˈzæmɪn,thẩm tra khám xét hỏi han (thí sinh)
example,ig´za:mp(ə)l,thí dụ ví dụ
excellent,ˈeksələnt,xuất sắc xuất chúng
except,ik'sept,trừ ra không kể; trừ phi
exception,ik'sepʃn,sự trừ ra sự loại ra
exchange,iks´tʃeindʒ,trao đổi; sự trao đổi
excite,ik'sait,kích thích kích động
exciting,ik´saitiη,hứng thú thú vị
excited,ɪkˈsaɪtɪd,bị kích thích bị kích động
excitement,ik´saitmənt,sự kích thích sự kích động
exclude,iks´klu:d,ngăn chạn loại trừ
excluding,iks´klu:diη,ngoài ra trừ ra
excuse,iks´kju:z,lời xin lỗi bào chữa; xin lỗi tha thứ tha lỗi
executive,ɪgˈzɛkyətɪv,sự thi hành chấp hành; (thuộc) sự thi hành chấp hành
exercise,eksəsaiz,bài tập sự thi hành sự thực hiện; làm thi hành thực hiện
exhibit,ɪgˈzɪbɪt,trưng bày triển lãm; vật trưng bày vật triển lãm
exhibition,ˌɛksəˈbɪʃən,cuộc triển lãm trưng bày
exist,ig'zist,tồn tại sống
existence,ig'zistəns,sự tồn tại sự sống
exit,´egzit,lỗi ra sự đi ra thoát ra
expand,iks'pænd,mở rộng phát triển nở giãn ra
expect,ik'spekt,chờ đợi mong ngóng; liệu trước
expected,iks´pektid,được chờ đợi được hy vọng
unexpected,¸ʌniks´pektid,bất ngờ gây ngạc nhiên
unexpectedly,Δniks'pektid,bất ngờ gây ngạc nhiên
expectation,ekspek'tei∫n,sự mong chờ sự chờ đợi
expense,ɪkˈspɛns,chi phí
expensive,iks'pensiv,đắt
experience,iks'piəriəns,kinh nghiệm; trải qua nếm mùi
experienced,eks´piəriənst,có kinh nghiệm từng trải giàu kinh nghiệm
experiment,ɪkˈspɛrəmənt ; ɛkˈspɛrəˌmɛnt,cuộc thí nghiệm; thí nghiệm
expert,ekspз'ti:z,chuyên gia; chuyên môn thành thạo
explain,iks'plein,giải nghĩa giải thích
explanation,eksplə'neiʃn,sự giải nghĩa giải thích
explode,iks'ploud,đập tan (hy vọng) làm nổ nổ
explore,iks´plɔ:,thăm dò thám hiểm
explosion,iks'plouʤn,sự nổ sự phát triển ồ ạt
export,iks´pɔ:t,xuất khẩu; hàng xuất khẩu sự xuất khẩu
expose,ɪkˈspoʊz,trưng bày phơi bày
